year,region,all,event,count,percentage
1982,global,19,3x3x3 Cube,19,100
1982,global,19,3x3x3 Blindfolded,0,0
1982,global,19,3x3x3 Fewest Moves,0,0
1982,global,19,3x3x3 One-Handed,0,0
1982,global,19,4x4x4 Blindfolded,0,0
1982,global,19,4x4x4 Cube,0,0
1982,global,19,5x5x5 Blindfolded,0,0
1982,global,19,5x5x5 Cube,0,0
1982,global,19,Clock,0,0
1982,global,19,Magic,0,0
1982,global,19,Master Magic,0,0
1982,global,19,Megaminx,0,0
1982,global,19,Pyraminx,0,0
1982,global,19,Square-1,0,0
1982,global,19,2x2x2 Cube,0,0
1982,global,19,3x3x3 With Feet,0,0
1982,global,19,6x6x6 Cube,0,0
1982,global,19,7x7x7 Cube,0,0
1982,global,19,Skewb,0,0
1982,malaysia,0,3x3x3 Cube,0,0
1982,malaysia,0,3x3x3 Blindfolded,0,0
1982,malaysia,0,3x3x3 Fewest Moves,0,0
1982,malaysia,0,3x3x3 One-Handed,0,0
1982,malaysia,0,4x4x4 Blindfolded,0,0
1982,malaysia,0,4x4x4 Cube,0,0
1982,malaysia,0,5x5x5 Blindfolded,0,0
1982,malaysia,0,5x5x5 Cube,0,0
1982,malaysia,0,Clock,0,0
1982,malaysia,0,Magic,0,0
1982,malaysia,0,Master Magic,0,0
1982,malaysia,0,Megaminx,0,0
1982,malaysia,0,Pyraminx,0,0
1982,malaysia,0,Square-1,0,0
1982,malaysia,0,2x2x2 Cube,0,0
1982,malaysia,0,3x3x3 With Feet,0,0
1982,malaysia,0,6x6x6 Cube,0,0
1982,malaysia,0,7x7x7 Cube,0,0
1982,malaysia,0,Skewb,0,0
2003,global,90,3x3x3 Cube,85,94.44444444444444
2003,global,90,3x3x3 Blindfolded,3,3.3333333333333335
2003,global,90,3x3x3 Fewest Moves,2,2.2222222222222223
2003,global,90,3x3x3 One-Handed,12,13.333333333333334
2003,global,90,4x4x4 Blindfolded,1,1.1111111111111112
2003,global,90,4x4x4 Cube,22,24.444444444444443
2003,global,90,5x5x5 Blindfolded,1,1.1111111111111112
2003,global,90,5x5x5 Cube,15,16.666666666666664
2003,global,90,Clock,6,6.666666666666667
2003,global,90,Magic,6,6.666666666666667
