eventId,eventName,personId,personName,best,personCountry,competitionId,year,rank
555bf,5x5x5 Blindfolded,2013LINK01,Kaijun Lin (林恺俊),227.5,China,BeijingOpen2017,2017,1
555bf,5x5x5 Blindfolded,2012STRA02,Roman Strakhov,282.06,Russia,FinnishChampionship2016,2017,2
555bf,5x5x5 Blindfolded,2013NELS01,Tom Nelson,291.29,New Zealand,HamiltonSpring2017,2017,3
555bf,5x5x5 Blindfolded,2014SCHO02,Cale Schoon,316.48,United States,HeartlandChampionships2017,2017,4
555bf,5x5x5 Blindfolded,2012FROS01,Oliver Frost,331.9,United Kingdom,ExeterOpen2016,2017,5
555bf,5x5x5 Blindfolded,2012JALO01,Grzegorz Jałocha,339.1,Poland,BydgoszczSummer2014,2017,6
555bf,5x5x5 Blindfolded,2007ENDR01,Marcell Endrey,366.41,Hungary,WC2013,2017,7
555bf,5x5x5 Blindfolded,2013GHOD01,Abhijeet Ghodgaonkar (अभिजीत घोडगावकर),367.88,India,SCMU2016,2017,8
555bf,5x5x5 Blindfolded,2015PHOM01,William Phommaha,392.53,France,BarbyCube732017,2017,9
555bf,5x5x5 Blindfolded,2011FRES01,Linus Frész,401.78,Germany,Euro2016,2017,10
555bf,5x5x5 Blindfolded,2010YAMA04,Yuki Yamamoto (山本祐輝),419.29,Japan,JapanOpen2017,2017,11
555bf,5x5x5 Blindfolded,2012SEVE01,Ainesh Sevellaraja,424.89,Malaysia,MalaysiaCubeOpen2016,2017,12
555bf,5x5x5 Blindfolded,2010WANG68,Bill Wang,426.48,Canada,Michigan2016,2017,13
555bf,5x5x5 Blindfolded,2007LUJI01,Jia-Hong Lu (陸嘉宏),491.97,Chinese Taipei,TaiwanChampionship2017,2017,14
555bf,5x5x5 Blindfolded,2015JUNV01,Victor Tang Yao Jun (湯曜駿),501.44,"Hong Kong, China",BignBlind2017,2017,15
555bf,5x5x5 Blindfolded,2010CARN01,Zane Carney,506.37,Australia,WC2013,2017,16
555bf,5x5x5 Blindfolded,2014MODA01,Shantanu Modak,530.03,Singapore,SingaporeSpecial2017,2017,17
555bf,5x5x5 Blindfolded,2013HUAN29,Gianfranco Huanqui,547.47,Peru,NacionalPerubik2016,2017,18
555bf,5x5x5 Blindfolded,2008SEPP01,Ville Seppänen,588.58,Finland,KirkkonummiOpen2011,2017,19
555bf,5x5x5 Blindfolded,2011TRON02,Sebastiano Tronto,592.97,Italy,ItalianChampionship2017,2017,20
555bf,5x5x5 Blindfolded,2016CHAP04,Stanley Chapel,181.01,United States,ShakerFall2018,2018,1
555bf,5x5x5 Blindfolded,2015ALEK01,Grigorii Alekseev,222.25,Russia,MPEIOpen2018,2018,2
555bf,5x5x5 Blindfolded,2013LINK01,Kaijun Lin (林恺俊),226.56,China,SingaporeChampionship2018,2018,3
555bf,5x5x5 Blindfolded,2013NELS01,Tom Nelson,251.21,New Zealand,MindGames2018,2018,4
555bf,5x5x5 Blindfolded,2017DEBS01,Adrian Dębski,293.27,Poland,PolishChampionship2018,2018,5
555bf,5x5x5 Blindfolded,2010WANG68,Bill Wang,297.62,Canada,PBQWaterloo2018,2018,6
555bf,5x5x5 Blindfolded,2012FROS01,Oliver Frost,331.9,United Kingdom,ExeterOpen2016,2018,7
555bf,5x5x5 Blindfolded,2015PHOM01,William Phommaha,343.83,France,Euro2018,2018,8
555bf,5x5x5 Blindfolded,2010YAMA04,Yuki Yamamoto (山本祐輝),351.86,Japan,JapanChampionship2018,2018,9
555bf,5x5x5 Blindfolded,2011BANS02,Shivam Bansal,361.2,India,BengaluruChampionship2018,2018,10
555bf,5x5x5 Blindfolded,2007ENDR01,Marcell Endrey,366.41,Hungary,WC2013,2018,11
555bf,5x5x5 Blindfolded,2015FIRM01,Tomoya Firman,382.61,Australia,MelbourneWinter2018,2018,12
555bf,5x5x5 Blindfolded,2017FENG10,Hill Pong Yong Feng,397.03,Malaysia,MalaysiaCubeChampionship2018,2018,13
555bf,5x5x5 Blindfolded,2011FRES01,Linus Frész,401.78,Germany,Euro2016,2018,14
555bf,5x5x5 Blindfolded,2014MODA01,Shantanu Modak,417.88,Singapore,SingaporeChampionship2018,2018,15
555bf,5x5x5 Blindfolded,2015JUNV01,Victor Tang Yao Jun (湯曜駿),426.64,"Hong Kong, China",BignBlindGuangzhou2018,2018,16
555bf,5x5x5 Blindfolded,2017GUTM01,Manuel Gutman,427.82,Argentina,NacionalesArgentinas2018,2018,17
555bf,5x5x5 Blindfolded,2017HERM01,Daniel Anker Hermansen,448.56,Denmark,DanishOpen2018,2018,18
555bf,5x5x5 Blindfolded,2011TRON02,Sebastiano Tronto,456.7,Italy,Euro2018,2018,19
555bf,5x5x5 Blindfolded,2007LUJI01,Jia-Hong Lu (陸嘉宏),471.36,Chinese Taipei,AsianChampionship2018,2018,20
555bf,5x5x5 Blindfolded,2016CHAP04,Stanley Chapel,141.62,United States,MichiganCubingClubEpsilon2019,2019,1
555bf,5x5x5 Blindfolded,2013LINK01,Kaijun Lin (林恺俊),159.12,China,SelangorCubeOpen2019,2019,2
555bf,5x5x5 Blindfolded,2015ALEK01,Grigorii Alekseev,222.25,Russia,MPEIOpen2018,2019,3
555bf,5x5x5 Blindfolded,2013NELS01,Tom Nelson,228.44,New Zealand,MindGames2019,2019,4
555bf,5x5x5 Blindfolded,2017DEBS01,Adrian Dębski,247.88,Poland,PSTLLSLublin2019,2019,5
555bf,5x5x5 Blindfolded,2017FENG10,Hill Pong Yong Feng,279.35,Malaysia,SabahCubeOpen2019,2019,6
555bf,5x5x5 Blindfolded,2017GUTM01,Manuel Gutman,289.65,Argentina,NacionalesArgentinas2019,2019,7
555bf,5x5x5 Blindfolded,2010WANG68,Bill Wang,297.62,Canada,PBQWaterloo2018,2019,8
555bf,5x5x5 Blindfolded,2011BANS02,Shivam Bansal,312.9,India,WC2019,2019,9
555bf,5x5x5 Blindfolded,2012FROS01,Oliver Frost,331.9,United Kingdom,ExeterOpen2016,2019,10
555bf,5x5x5 Blindfolded,2015PHOM01,William Phommaha,333.92,France,FrenchChampionship2019,2019,11
555bf,5x5x5 Blindfolded,2015JUNV01,Victor Tang Yao Jun (湯曜駿),338.42,"Hong Kong, China",BignBlindGuangzhou2019,2019,12
555bf,5x5x5 Blindfolded,2010YAMA04,Yuki Yamamoto (山本祐輝),351.86,Japan,JapanChampionship2018,2019,13
555bf,5x5x5 Blindfolded,2013EGDA02,Martin Vædele Egdal,356.6,Denmark,SSL3Varberg2019,2019,14
555bf,5x5x5 Blindfolded,2007ENDR01,Marcell Endrey,366.41,Hungary,WC2013,2019,15
555bf,5x5x5 Blindfolded,2014FRIT02,Oliver Fritz,373.64,Germany,BadenWurttembergOpen2019,2019,16
555bf,5x5x5 Blindfolded,2015FIRM01,Tomoya Firman,382.61,Australia,MelbourneWinter2018,2019,17
