eventId,eventName,year,month,day,personId,personName,personCountry,personContinent,competitionId,best,average,recordValue,recordType,recordDescription,recordYear
222,2x2x2 Cube,2008,11,29,2008LIUB01,Baian Liu,China,Asia,VirginiaOpen2008,3.41,4.73,4.73,NR Average,China Record,2008
222,2x2x2 Cube,2008,11,8,2004CHAM01,Edouard Chambon,France,Europe,GenevaOpen2008,1.39,3.28,3.28,NR Average,France Record,2008
222,2x2x2 Cube,2009,11,28,2009CHYI01,Gooi Ying Chyi,Malaysia,Asia,MalaysianOpen2009,3.94,5.02,5.02,NR Average,Malaysia Record,2009
222,2x2x2 Cube,2009,8,22,2008CHEN13,Zuqi Chen (陈祖祺),China,Asia,ShenzhenSummerOpen2009,3.18,3.8,3.8,NR Average,China Record,2009
222,2x2x2 Cube,2008,11,8,2004CHAM01,Edouard Chambon,France,Europe,GenevaOpen2008,1.39,3.28,3.28,NR Average,France Record,2009
222,2x2x2 Cube,2010,6,5,2009SWEE01,Amos Tay Swee Hui,Malaysia,Asia,UKNationals2010,3.22,4.35,4.35,NR Average,Malaysia Record,2010
222,2x2x2 Cube,2010,8,14,2008SUNZ01,Zhouheng Sun (孙舟横),China,Asia,ShanghaiOpen2010,2.53,3.22,3.22,NR Average,China Record,2010
222,2x2x2 Cube,2010,4,9,2008VIRO01,Philippe Virouleau,France,Europe,France2010,1.41,3.13,3.13,NR Average,France Record,2010
222,2x2x2 Cube,2011,10,14,2009SIKL01,Leong Wing Sik,Malaysia,Asia,WC2011,2.41,3.17,3.17,NR Average,Malaysia Record,2011
222,2x2x2 Cube,2011,12,24,2010WANG07,Yinghao Wang (王鹰豪),China,Asia,ShanghaiWinter2011,2.08,2.6,2.6,NR Average,China Record,2011
222,2x2x2 Cube,2011,8,6,2008VIRO01,Philippe Virouleau,France,Europe,BlindOpen2011,2.78,3.13,3.13,NR Average,France Record,2011
222,2x2x2 Cube,2012,6,2,2009SIKL01,Leong Wing Sik,Malaysia,Asia,MalaysiaCubeOpen2012,2.38,3,3,NR Average,Malaysia Record,2012
222,2x2x2 Cube,2012,9,22,2010WANG07,Yinghao Wang (王鹰豪),China,Asia,HangzhouOpen2012,2.06,2.44,2.44,NR Average,China Record,2012
222,2x2x2 Cube,2012,8,25,2009GUIL01,Kevin Guillaumond,France,Europe,HautePatateOpen2012,1.8,2.81,2.81,NR Average,France Record,2012
222,2x2x2 Cube,2013,8,24,2009JUNY01,Howard Wong Jun Yen (黄俊仁),Malaysia,Asia,GuildfordOpen2013,2.67,2.83,2.83,NR Average,Malaysia Record,2013
222,2x2x2 Cube,2013,8,3,2010WANG07,Yinghao Wang (王鹰豪),China,Asia,ShanghaiSummer2013,1.71,2.06,2.06,NR Average,China Record,2013
222,2x2x2 Cube,2013,12,21,2012CARL03,Alexandre Carlier,France,Europe,LaMontagneOpen2013,1.59,2.47,2.47,NR Average,France Record,2013
