state,date,division,index
Johor,2016-08-01,overall,118.5
Johor,2016-09-01,overall,118.2
Johor,2016-10-01,overall,118.5
Johor,2016-11-01,overall,119.7
Johor,2016-12-01,overall,119.7
Johor,2017-01-01,overall,121.4
Johor,2017-02-01,overall,123.2
Johor,2017-03-01,overall,123
Johor,2017-04-01,overall,122.8
Johor,2017-05-01,overall,122.3
Johor,2017-06-01,overall,122.2
Johor,2017-07-01,overall,122.1
Johor,2017-08-01,overall,123.3
Johor,2017-09-01,overall,123.7
Johor,2017-10-01,overall,123.5
Johor,2017-11-01,overall,124.3
Johor,2017-12-01,overall,124.5
Johor,2018-01-01,overall,124.9
Johor,2018-02-01,overall,125
Johor,2018-03-01,overall,124.4
Johor,2018-04-01,overall,124.4
Johor,2018-05-01,overall,124.7
Johor,2018-06-01,overall,123.1
Johor,2018-07-01,overall,123.3
Johor,2018-08-01,overall,123.6
Johor,2018-09-01,overall,124
Johor,2018-10-01,overall,124.3
Johor,2018-11-01,overall,124.7
Johor,2018-12-01,overall,124.6
Johor,2019-01-01,overall,124
Johor,2019-02-01,overall,124.3
Johor,2019-03-01,overall,124.6
Johor,2019-04-01,overall,124.7
Johor,2019-05-01,overall,125
Johor,2019-06-01,overall,125
Johor,2019-07-01,overall,125.2
Johor,2019-08-01,overall,125.3
Johor,2019-09-01,overall,125.5
Johor,2019-10-01,overall,125.7
Johor,2019-11-01,overall,125.7
Johor,2019-12-01,overall,126
Johor,2020-01-01,overall,126.2
Johor,2020-02-01,overall,126
Johor,2020-03-01,overall,124.3
Johor,2020-04-01,overall,120.5
Johor,2020-05-01,overall,120.8
Johor,2020-06-01,overall,122.3
Johor,2020-07-01,overall,123.1
Johor,2020-08-01,overall,123.2
Johor,2020-09-01,overall,123.1
Johor,2020-10-01,overall,123.1
Johor,2020-11-01,overall,123
Johor,2020-12-01,overall,123.5
Johor,2021-01-01,overall,125.2
Johor,2021-02-01,overall,125.7
Johor,2021-03-01,overall,126.2
Johor,2021-04-01,overall,126.4
Johor,2021-05-01,overall,126.3
Johor,2021-06-01,overall,126.5
Johor,2021-07-01,overall,125.7
Johor,2021-08-01,overall,125.7
Johor,2021-09-01,overall,126
Johor,2021-10-01,overall,126.9
Johor,2021-11-01,overall,127.3
Johor,2021-12-01,overall,127.7
Johor,2022-01-01,overall,128
Johor,2022-02-01,overall,128.1
Johor,2022-03-01,overall,128.7
Johor,2022-04-01,overall,129
Johor,2022-05-01,overall,130
Johor,2022-06-01,overall,131.2
Johor,2022-07-01,overall,131.6
Johor,2022-08-01,overall,131.8
Johor,2022-09-01,overall,131.9
Johor,2022-10-01,overall,131.9
Johor,2022-11-01,overall,132.6
Johor,2022-12-01,overall,132.7
Johor,2023-01-01,overall,132.9
Johor,2023-02-01,overall,133.4
Johor,2023-03-01,overall,133.4
Johor,2023-04-01,overall,133.3
Johor,2023-05-01,overall,133.5
Johor,2023-06-01,overall,133.7
Johor,2023-07-01,overall,133.8
Johor,2023-08-01,overall,134.1
Johor,2023-09-01,overall,134.2
Johor,2023-10-01,overall,134.2
Johor,2023-11-01,overall,134.3
Johor,2023-12-01,overall,134.6
Johor,2024-01-01,overall,134.9
Johor,2024-02-01,overall,135.4
Johor,2024-03-01,overall,135.4
Johor,2024-04-01,overall,135.4
Johor,2024-05-01,overall,136
Johor,2024-06-01,overall,136.4
Johor,2024-07-01,overall,136.4
Johor,2024-08-01,overall,136.5
Kedah,2016-08-01,overall,114.8
Kedah,2016-09-01,overall,114.5
Kedah,2016-10-01,overall,114.9
Kedah,2016-11-01,overall,115.8
Kedah,2016-12-01,overall,116
Kedah,2017-01-01,overall,117.6
Kedah,2017-02-01,overall,119.1
Kedah,2017-03-01,overall,119
Kedah,2017-04-01,overall,118.6
Kedah,2017-05-01,overall,118.3
Kedah,2017-06-01,overall,118.1
Kedah,2017-07-01,overall,118
Kedah,2017-08-01,overall,119.1
Kedah,2017-09-01,overall,119.5
Kedah,2017-10-01,overall,119.2
Kedah,2017-11-01,overall,119.9
Kedah,2017-12-01,overall,120
Kedah,2018-01-01,overall,114.3
Kedah,2018-02-01,overall,114.5
Kedah,2018-03-01,overall,113.9
Kedah,2018-04-01,overall,119.8
Kedah,2018-05-01,overall,119.8
Kedah,2018-06-01,overall,118.5
Kedah,2018-07-01,overall,118.5
Kedah,2018-08-01,overall,118.7
Kedah,2018-09-01,overall,118.9
Kedah,2018-10-01,overall,119.1
Kedah,2018-11-01,overall,119.1
Kedah,2018-12-01,overall,119.3
Kedah,2019-01-01,overall,118.5
Kedah,2019-02-01,overall,118.8
Kedah,2019-03-01,overall,119.2
Kedah,2019-04-01,overall,119.1
Kedah,2019-05-01,overall,119.4
Kedah,2019-06-01,overall,119.4
Kedah,2019-07-01,overall,119.5
Kedah,2019-08-01,overall,119.8
Kedah,2019-09-01,overall,119.8
Kedah,2019-10-01,overall,120
Kedah,2019-11-01,overall,120
Kedah,2019-12-01,overall,120.2
Kedah,2020-01-01,overall,120.2
Kedah,2020-02-01,overall,120.1
Kedah,2020-03-01,overall,118.5
Kedah,2020-04-01,overall,114.6
