Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Continent,Population
Switzerland,195.3,118.4,78.3,74.8,123.3,8.3,28.5,19.6,80.2,Europe,8775760
Denmark,192.4,99.5,73.4,80.1,84.1,6.8,28.5,21,81.8,Europe,5903037
Netherlands,185.4,88,72.1,75.6,75.7,7.2,27.4,25.1,87.1,Europe,17700982
Finland,185,91,72.7,76.3,73.2,7.9,27.8,12.1,56.6,Europe,5556106
Australia,183.8,104.6,56.2,78.1,77.7,7.2,34.8,23.9,92.7,Oceania,26014399
Iceland,182.3,77.1,76.5,66.4,94.9,6.4,19.8,15.8,68.8,Europe,382003
Germany,180.3,103.1,63.6,73.2,65.6,8.9,31.1,27.8,82.4,Europe,83797985
Austria,179.2,77.3,73.9,76.7,71,10.7,25.5,21.7,77.1,Europe,9041851
New Zealand,176.8,83.6,56.7,73.3,74.5,8,30.8,23.6,96.7,Oceania,5117200
Norway,176.4,83.1,66.2,76.8,100.9,8,26.9,17.9,68.7,Europe,5457127
Sweden,175.3,98.1,51,68.7,71.7,7.8,29.4,18.3,74.9,Europe,10486941
Estonia,174.2,63.5,76.2,73.3,53.7,9.3,24.5,19.7,64.3,Europe,1348840
Oman,173.7,84.2,80,58.2,49.4,4.6,22.8,37.2,67.2,Asia,4576298
Luxembourg,173.6,98.8,64.3,70.8,80.5,13.6,32.7,23.9,82.6,Europe,653103
United States,170.7,106.3,51.8,69.1,70.1,4,32.9,35.3,76.8,North America,333271411
Japan,169.5,87.1,77.9,80.5,77,11,40.7,38.8,85.3,Asia,125124989
Slovenia,169,59.5,77.3,65.2,53.9,11.5,26.5,22.9,77.6,Europe,2111986
Spain,168.5,70,66.1,78.4,53.9,8.8,29.2,39.7,93.8,Europe,47778340
Czech Republic,162.6,66.5,74.5,75.3,48.2,13.6,29.5,35.9,77.1,Europe,10672118
Portugal,162.5,46.8,69.4,72,47.9,12.2,29.9,30.5,97.8,Europe,10409704
Lithuania,161.8,58.7,66.7,71.9,45.6,11,26,26.7,67.8,Europe,2831639
United Kingdom,161.7,88.8,53.5,74.8,69.7,8.9,34.4,40.2,88.1,Europe,67791000
Canada,160.4,88,57.1,71.3,70.2,7.5,33.6,28.8,56,North America,38939056
