state,year,population,area
Johor,1970,1325600,19210
Johor,1971,1355400,19210
Johor,1972,1385300,19210
Johor,1973,1414500,19210
Johor,1974,1444400,19210
Johor,1975,1477000,19210
Johor,1976,1508400,19210
Johor,1977,1541900,19210
Johor,1978,1573400,19210
Johor,1979,1606400,19210
Johor,1980,1646200,19210
Johor,1981,1689300,19210
Johor,1982,1734600,19210
Johor,1983,1780200,19210
Johor,1984,1825800,19210
Johor,1985,1875500,19210
Johor,1986,1926500,19210
Johor,1987,1977900,19210
Johor,1988,2031000,19210
Johor,1989,2085500,19210
Johor,1990,2139600,19210
Johor,1991,2188100,19210
Johor,1992,2249100,19210
Johor,1993,2313400,19210
Johor,1994,2378100,19210
Johor,1995,2441400,19210
Johor,1996,2503900,19210
Johor,1997,2567500,19210
Johor,1998,2631700,19210
Johor,1999,2699400,19210
Johor,2000,2762500,19210
Johor,2001,2829900,19210
Johor,2002,2893600,19210
Johor,2003,2954000,19210
Johor,2004,3014600,19210
Johor,2005,3074400,19210
Johor,2006,3134400,19210
Johor,2007,3193500,19210
Johor,2008,3252300,19210
Johor,2009,3309400,19210
Johor,2010,3362900,19210
Johor,2011,3410500,19210
Johor,2012,3450400,19210
Johor,2013,3474400,19210
Johor,2014,3559800,19210
Johor,2015,3610300,19210
Johor,2016,3651800,19210
Johor,2017,3697000,19210
Johor,2018,3749400,19210
Johor,2019,3761200,19210
Johor,2020,4009700,19210
Johor,2021,4020000,19210
Johor,2022,4028300,19210
Johor,2023,4107200,19210
Johor,2024,4186300,19210
Kedah,1970,989500,9500
Kedah,1971,1003900,9500
Kedah,1972,1017300,9500
Kedah,1973,1029000,9500
Kedah,1974,1041100,9500
Kedah,1975,1054900,9500
Kedah,1976,1065400,9500
Kedah,1977,1079800,9500
Kedah,1978,1090900,9500
Kedah,1979,1103400,9500
Kedah,1980,1119900,9500
Kedah,1981,1140200,9500
Kedah,1982,1161800,9500
Kedah,1983,1183900,9500
Kedah,1984,1206100,9500
Kedah,1985,1230800,9500
Kedah,1986,1256200,9500
Kedah,1987,1281100,9500
Kedah,1988,1305400,9500
Kedah,1989,1328800,9500
Kedah,1990,1352200,9500
Kedah,1991,1371300,9500
Kedah,1992,1402100,9500
Kedah,1993,1434100,9500
Kedah,1994,1466600,9500
Kedah,1995,1500200,9500
Kedah,1996,1533200,9500
Kedah,1997,1566900,9500
Kedah,1998,1601200,9500
Kedah,1999,1636500,9500
Kedah,2000,1671900,9500
Kedah,2001,1703900,9500
Kedah,2002,1734800,9500
Kedah,2003,1763700,9500
Kedah,2004,1792400,9500
Kedah,2005,1820300,9500
Kedah,2006,1847500,9500
Kedah,2007,1874200,9500
Kedah,2008,1900200,9500
Kedah,2009,1925300,9500
Kedah,2010,1949300,9500
Kedah,2011,1971800,9500
Kedah,2012,2001100,9500
Kedah,2013,2039800,9500
Kedah,2014,2062700,9500
Kedah,2015,2096500,9500
Kedah,2016,2119700,9500
Kedah,2017,2143900,9500
Kedah,2018,2163000,9500
Kedah,2019,2173700,9500
Kedah,2020,2131400,9500
Kedah,2021,2151700,9500
Kedah,2022,2163100,9500
Kedah,2023,2189300,9500
Kedah,2024,2217500,9500
Kelantan,1970,707300,15099
Kelantan,1971,723600,15099
Kelantan,1972,741100,15099
Kelantan,1973,759500,15099
Kelantan,1974,776800,15099
Kelantan,1975,796100,15099
Kelantan,1976,814100,15099
Kelantan,1977,834200,15099
Kelantan,1978,852500,15099
Kelantan,1979,873700,15099
Kelantan,1980,895700,15099
Kelantan,1981,920500,15099
Kelantan,1982,947100,15099
Kelantan,1983,974600,15099
Kelantan,1984,1002600,15099
Kelantan,1985,1032900,15099
Kelantan,1986,1062800,15099
Kelantan,1987,1093200,15099
Kelantan,1988,1124000,15099
Kelantan,1989,1154500,15099
Kelantan,1990,1187200,15099
Kelantan,1991,1227000,15099
Kelantan,1992,1243500,15099
Kelantan,1993,1259100,15099
Kelantan,1994,1273700,15099
Kelantan,1995,1287700,15099
Kelantan,1996,1301100,15099
Kelantan,1997,1314400,15099
Kelantan,1998,1328900,15099
Kelantan,1999,1344700,15099
Kelantan,2000,1361400,15099
Kelantan,2001,1390000,15099
Kelantan,2002,1416700,15099
Kelantan,2003,1440500,15099
Kelantan,2004,1463800,15099
Kelantan,2005,1486300,15099
Kelantan,2006,1507600,15099
Kelantan,2007,1529100,15099
Kelantan,2008,1549800,15099
Kelantan,2009,1570000,15099
Kelantan,2010,1589900,15099
Kelantan,2011,1618800,15099
Kelantan,2012,1651000,15099
Kelantan,2013,1683500,15099
Kelantan,2014,1723400,15099
Kelantan,2015,1760600,15099
Kelantan,2016,1796700,15099
Kelantan,2017,1829000,15099
Kelantan,2018,1860500,15099
Kelantan,2019,1883800,15099
Kelantan,2020,1792500,15099
Kelantan,2021,1812300,15099
Kelantan,2022,1830600,15099
Kelantan,2023,1859800,15099
Kelantan,2024,1888500,15099
Melaka,1970,419400,1664
Melaka,1971,424900,1664
Melaka,1972,429900,1664
Melaka,1973,434200,1664
Melaka,1974,438100,1664
Melaka,1975,443100,1664
Melaka,1976,447300,1664
Melaka,1977,452100,1664
Melaka,1978,456200,1664
Melaka,1979,460800,1664
Melaka,1980,466900,1664
Melaka,1981,472600,1664
Melaka,1982,478700,1664
Melaka,1983,484800,1664
Melaka,1984,491200,1664
Melaka,1985,498600,1664
Melaka,1986,505600,1664
Melaka,1987,513100,1664
Melaka,1988,520500,1664
Melaka,1989,527400,1664
Melaka,1990,534200,1664
Melaka,1991,540200,1664
Melaka,1992,551800,1664
Melaka,1993,563300,1664
Melaka,1994,574900,1664
Melaka,1995,586100,1664
Melaka,1996,597300,1664
Melaka,1997,608800,1664
Melaka,1998,620500,1664
Melaka,1999,633100,1664
Melaka,2000,646600,1664
Melaka,2001,665800,1664
Melaka,2002,684100,1664
Melaka,2003,701800,1664
Melaka,2004,719800,1664
Melaka,2005,737300,1664
Melaka,2006,755000,1664
Melaka,2007,772800,1664
Melaka,2008,790500,1664
Melaka,2009,807800,1664
Melaka,2010,823600,1664
Melaka,2011,833200,1664
Melaka,2012,843200,1664
Melaka,2013,856700,1664
Melaka,2014,871700,1664
Melaka,2015,889000,1664
Melaka,2016,901100,1664
Melaka,2017,913100,1664
Melaka,2018,922400,1664
Melaka,2019,928400,1664
Melaka,2020,998400,1664
Melaka,2021,1004500,1664
Melaka,2022,1008600,1664
Melaka,2023,1028300,1664
Melaka,2024,1047100,1664
Negeri Sembilan,1970,500400,6686
Negeri Sembilan,1971,508200,6686
Negeri Sembilan,1972,515900,6686
Negeri Sembilan,1973,522800,6686
Negeri Sembilan,1974,530000,6686
Negeri Sembilan,1975,537600,6686
Negeri Sembilan,1976,544300,6686
Negeri Sembilan,1977,551800,6686
Negeri Sembilan,1978,558700,6686
Negeri Sembilan,1979,566400,6686
Negeri Sembilan,1980,576700,6686
Negeri Sembilan,1981,587200,6686
Negeri Sembilan,1982,598900,6686
Negeri Sembilan,1983,611300,6686
Negeri Sembilan,1984,623800,6686
Negeri Sembilan,1985,638400,6686
Negeri Sembilan,1986,653700,6686
Negeri Sembilan,1987,668900,6686
Negeri Sembilan,1988,683500,6686
Negeri Sembilan,1989,698200,6686
Negeri Sembilan,1990,713400,6686
Negeri Sembilan,1991,726200,6686
Negeri Sembilan,1992,741700,6686
Negeri Sembilan,1993,757000,6686
Negeri Sembilan,1994,772400,6686
Negeri Sembilan,1995,787500,6686
Negeri Sembilan,1996,802600,6686
Negeri Sembilan,1997,818000,6686
Negeri Sembilan,1998,833500,6686
Negeri Sembilan,1999,849500,6686
Negeri Sembilan,2000,866100,6686
Negeri Sembilan,2001,883700,6686
Negeri Sembilan,2002,900300,6686
Negeri Sembilan,2003,916800,6686
Negeri Sembilan,2004,933700,6686
Negeri Sembilan,2005,950300,6686
Negeri Sembilan,2006,967000,6686
Negeri Sembilan,2007,983500,6686
Negeri Sembilan,2008,999600,6686
Negeri Sembilan,2009,1014900,6686
Negeri Sembilan,2010,1029500,6686
Negeri Sembilan,2011,1047400,6686
Negeri Sembilan,2012,1057700,6686
Negeri Sembilan,2013,1072200,6686
Negeri Sembilan,2014,1079600,6686
Negeri Sembilan,2015,1088800,6686
Negeri Sembilan,2016,1099300,6686
